Drug,FoodInteractions
Dabigatran,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
Daptomycin,No interactions found.
Efavirenz,"Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.
Take on an empty stomach. Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions. In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration."
Quizartinib,Not Available
Rifampicin,"Avoid alcohol.
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
Take with a full glass of water."
Abeprazan,Not Available
Acetaminophen,"Avoid alcohol. Alcohol may increase the risk of hepatotoxicity.
Take with or without food. The absorption is unaffected by food."
Acetylsalicylic acidCommonly known or available as Aspirin,"Avoid alcohol. Alcohol increases the risk of gastrointestinal bleeding.
Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.
Take after a meal. This reduces irritating gastrointestinal effects.
Take with a full glass of water."
Amlodipine,"Avoid grapefruit products.
Avoid natural licorice.
Take with or without food. The absorption is unaffected by food."
Amoxicillin,Take with food.
Ampreloxetine,Not Available
Bavisant,Not Available
Bavisant,Not Available
Belumosudil,"Take at the same time every day. Belumosudil should be taken with a meal at approximately the same time each day.
Take with food. The co-administration of food increases the absorption of belumosudil."
Bupropion,"Avoid alcohol. Co-administration with alcohol may result in neuropsychiatric adverse effects and potentiation of CNS depressant effects.
Take with or without food. Co-administration with food does not significantly affect pharmacokinetics."
Caffeine,No interactions found.
Caffeine,No interactions found.
Chlorzoxazone,"Avoid alcohol.
Take with or without food. The absorption is unaffected by food."
Clarithromycin,Take with food. Food increases absorption.
Clomifene,Take with or without food. The absorption is unaffected by food.
Clopidogrel,Take with or without food.
Cyclosporine,"Avoid grapefruit products.
Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.
Avoid St. John's Wort.
Take at the same time every day. Take consistently with regard to food."
Dabigatran etexilate,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.
Avoid St. John's Wort. This herb induces PGP which may reduce the serum levels of dabigatran.
Take with a full glass of water.
Take with or without food."
Daclatasvir,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of daclatasvir, which may increase its serum concentration. Dose changes may be necessary.
Avoid St. John's Wort. This herb induces the CYP3A metabolism of daclatasvir and may reduce its serum concentration. Co-administration of daclatasvir with St. John's Wort is contraindicated.
Take with or without food. Daclatasvir AUC and Cmax are slightly reduced when administered with food."
Darolutamide,"Avoid St. John's Wort. This herb induces CYP3A and P glycoprotein and may reduce the serum concentration of darolutamide.
Take with food. This increases the bioavailability of darolutamide."
Decernotinib,Not Available
Dextromethorphan,Take with or without food. The absorption is unaffected by food.
Dicloxacillin,Take on an empty stomach. Food decreases bioavailability.
Digoxin,"Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.
Avoid potassium-containing products. They may cause arrhythmias when given with digoxin.
Avoid St. John's Wort. This drug can decrease digoxin levels.
Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours."
Dorzagliatin,Not Available
Dronabinol,"Avoid alcohol.
Take with or without food. The absorption is unaffected by food."
Duloxetine,"Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of liver toxicity.
Take with or without food. Do not sprinkle the contents of the capsules on food/liquids."
Ecopipam,Not Available
Ecopipam,Not Available
Edaravone,No interactions found.
Efavirenz,"Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.
Take on an empty stomach. Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions. In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration."
Efavirenz,"Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.
Take on an empty stomach. Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions. In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration."
Elafibranor,Not Available
Enclomiphene,Not Available
Entinostat,Not Available
Enzalutamide,"Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of enzalutamide and may reduce its serum concentration.
Take with or without food."
Enzalutamide,"Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of enzalutamide and may reduce its serum concentration.
Take with or without food."
Ethanol,No interactions found.
Ethinylestradiol,Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of ethinylestradiol.
Ezetimibe,Take with or without food. Co-administration with food does not affect absorption.
Famotidine,"Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of gastric irritation.
Limit caffeine intake. Caffeine and other acidic beverages increases the risk of gastric irritation.
Take with or without food. Food slightly increases bioavailability, but not to a clinically significant extent."
Fexofenadine,"Avoid fruit juice. Fruit juices like grapefruit, orange, and apple may reduce bioavailability and overall exposure to the medication.
Take with or without food. Co-administration with food does not significantly affect absorption."
Fidaxomicin,Take with or without food. High-fat meal decreases the Cmax of fidaxomicin and its metabolite in a clinically insignificant way.
Fimasartan,Not Available
Flucloxacillin,Take on an empty stomach.
Fluconazole,Take with or without food. The absorption is unaffected by food.
Flurbiprofen,"Avoid alcohol.
Take with food. Food reduces irritation."
Fluvoxamine,"Avoid alcohol.
Avoid grapefruit products.
Limit caffeine intake.
Take with or without food. The absorption is unaffected by food."
Folic acid,No interactions found.
Fostamatinib,"Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of fostamatinib.
Take with or without food."
Fruquintinib,Not Available
Furosemide,"Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of orthostatic hypotension.
Avoid natural licorice. Avoid licorice in large amounts, as it may lead to hypokalemia.
Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice."
Gemfibrozil,Take before a meal. Take 30 minutes before meals.
Hydrochlorothiazide,"Avoid alcohol. Alcohol may potentiate orthostatic hypotension.
Avoid multivalent ions. Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide.
Avoid natural licorice. Licorice potentiates the hypokalemic effect of hydrochlorothiazide.
Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice.
Limit salt intake. Avoid excessive salt, unless recommended by a physician.
Take with or without food."
Hydrocodone,"Avoid alcohol. Profound CNS depression, including sedation, respiratory depression, coma, and death may occur.
Take with or without food. Cmax and AUC are not altered by food in a clinically significant way."
Ibuprofen,"Avoid alcohol.
Take with food. Food reduces irritation."
Idebenone,Take with food.
Indomethacin,"Avoid alcohol. Ingestion of alcohol can increase the risk of GI bleeding.
Take with or without food. Food has no effect on drug absorption. However, food may decrease the extent of gastrointestinal irritation caused by indomethacin."
Iohexol,No interactions found.
Itraconazole,"Avoid grapefruit products.
Avoid multivalent ions. Calcium, iron, and aluminum containing products taken up to 2 hours before and 6 hours after administration can decrease drug concentrations.
Take with food."
Ketoconazole,"Avoid alcohol. Drinking alcohol while on ketoconazole treatment may cause liver injury.
Avoid multivalent ions. They may decrease ketoconazole concentrations.
Take with food. Food decreases gastrointestinal irritation caused by ketoconazole."
Levonorgestrel,"Take at the same time every day.
Take with or without food. The effect of food on absorption has not been evaluated."
Levothyroxine,"Avoid calcium supplements/calcium rich foods. Calcium may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours.
Avoid grapefruit products. Grapefruit may delay the absorption of this medication.
Avoid iron supplements. Iron may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours.
Avoid multivalent ions. Examples include iron, magnesium, and calcium. These are often found in antacids, vitamins, and supplements - separate medication administration by at least 4 hours.
Do not take with bran and high fiber foods. Dietary fiber, soybean flour, cottonseed meal, and walnuts may reduce the absorption of levothyroxine.
Take on an empty stomach. Levothyroxine should be taken on an empty stomach 30-60 minutes prior to the first meal of the day."
Loperamide,"Drink plenty of fluids.
Take with or without food."
Lopinavir,"Avoid St. John's Wort. Induction of CYP3A by co-administration with St. John's Wort may result in reduced drug plasma concentrations and therapeutic failure.
Take with food. The oral solution formulation must be taken with food, but the tablet formulation may be taken with or without food."
Lorecivivint,Not Available
Lorlatinib,"Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of lorlatinib.
Avoid St. John's Wort. This herb induces the CYP3A metabolism of lorlatinib and may reduce its serum concentration. Co-administration of lorlatinib with St. John's Wort is contraindicated.
Take at the same time every day.
Take with or without food."
Losartan,"Take at the same time every day.
Take with or without food. Food delays absorption, but does not affect the extent of absorption."
Lovastatin,"Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.
Take with food. Food increases bioavailability."
Medical Cannabis,Not Available
Mefenamic acid,"Avoid alcohol.
Take with food."
Metamfetamine,No interactions found.
Metamizole,Not Available
Metformin,"Avoid alcohol.
Take with food. Food reduces irritation."
Methylprednisolone,"Avoid alcohol.
Take with food. Food reduces GI irritation."
Metoprolol,"Avoid alcohol.
Avoid natural licorice.
Take with food."
Metoprolol,"Avoid alcohol.
Avoid natural licorice.
Take with food."
Midazolam,Avoid grapefruit products.
Midazolam,Avoid grapefruit products.
Mirabegron,"Take with food. While adults may take mirabegron with or without food, prescribing information recommends that children always co-administer mirabegron with food."
Mirtazapine,"Avoid alcohol.
Take with or without food. Food does not significantly affect absorption."
Molibresib,Not Available
Mycophenolate mofetil,"Avoid multivalent ions. Take multivalent ions such as calcium, iron, or magnesium at least 2 hours after taking this medication.
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals."
Naloxegol,Take on an empty stomach. High-fat food increases drug absorption. Take naloxegol at least 1 hour prior to the first meal of the day or 2 hours after the meal. 
Napabucasin,Not Available
Nintedanib,Take with food. Co-administration with food improves absorption.
Nitisinone,"Limit the intake of phenylalanine and tyrosine.
Take separate from meals. Nitisinone capsules should be separated by one hour before or two hours after meals.
Take with or without food. Nitisinone tablets can be taken with or without food but food may prolong the Tmax by six hours."
Norgestimate,"Take at the same time every day.
Take with or without food."
Octreotide,"Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.
Take with or without food. Octreotide injections may be taken with or without food."
Omeprazole,Take before a meal. Allow 30-60 minutes before a meal.
Omeprazole,Take before a meal. Allow 30-60 minutes before a meal.
Oseltamivir,Take with or without food. Co-administration with food does not affect pharmacokinetics but may enhance tolerability.
PF-04991532,Not Available
Pantoprazole,Take with or without food. The absorption is unaffected by food.
Paroxetine,"Avoid alcohol.
Take with or without food. Food does not significantly affect absorption."
Paroxetine,"Avoid alcohol.
Take with or without food. Food does not significantly affect absorption."
Peficitinib,Not Available
Perphenazine,Avoid alcohol. Consuming alcohol may increase hypotension. Perphenazine may increase the effects of alcohol.
Pioglitazone,"Take with or without food. Food delays drug absorption, but not to a clinically significant extent."
Pirfenidone,"Take at the same time every day.
Take with food. This may reduce the adverse effects of nausea and dizziness. Food also impacts the bioavailability of pirfenidone."
Pravastatin,Take with or without food. Lipid lowering effects are similar in the fasting and fed state.
Prednisone,"Avoid alcohol.
Take with food. Food reduces irritation."
Propylthiouracil,Take at the same time every day.
Rabeprazole,"Take with or without food. Food delays drug absorption, but not to a clinically significant extent."
Refametinib,Not Available
Repaglinide,Take before a meal. Repaglinide should be taken before each meal of the day.
Rifampicin,"Avoid alcohol.
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
Take with a full glass of water."
Riociguat,"Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of riociguat and may reduce its serum concentration.
Take separate from antacids. Take at least 1 hour before or after antacids. Aluminum or magnesium hydroxide antacids may reduce riociguat absorption.
Take with or without food."
Riociguat,"Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of riociguat and may reduce its serum concentration.
Take separate from antacids. Take at least 1 hour before or after antacids. Aluminum or magnesium hydroxide antacids may reduce riociguat absorption.
Take with or without food."
Ritonavir,Avoid St. John's Wort. Co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy.
Rosiglitazone,Take with or without food.
Rosuvastatin,Take with or without food. Co-administration with food does not affect absorption.
Sirolimus,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of sirolimus and increases its serum concentration.
Exercise caution with St. John's Wort. This herb induces CYP3A4 and P-gp; thus it may reduce sirolimus serum concentrations.
Take with or without food. Take consistently with regard to food."
Solifenacin,Take with or without food.
Sorafenib,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of sorafenib.
Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of sorafenib.
Take on an empty stomach. Take sorafenib with at least one-hour separation before meals and two hours after meals."
Spironolactone,"Avoid alcohol.
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
Take with or without food. Food increases the bioavailability of spironolactone by nearly 100%. It should be taken at a consistent time in regards to food."
Tacrolimus,"Avoid alcohol. Consuming alcohol may increase the rate of tacrolimus release from extended-release formulations.
Avoid grapefruit products.
Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of tacrolimus; therefore, monitoring tacrolimus whole blood trough concentrations may be warranted.
Take at the same time every day.
Take on an empty stomach. Take at least 1 hour before or 2 hours after a meal as coadministration with food decreases the rate and extent of absorption.
Take separate from antacids. Coadministration of tacrolimus with aluminum or magnesium hydroxide antacids may increase the serum levels of tacrolimus, which poses a risk for toxicity."
Tamsulosin,Take after a meal. Take 30 minutes after the same meal each day to reduce plasma level variations.
Tegoprazan,Not Available
Telaglenastat,Not Available
Telapristone acetate,Not Available
Telotristat ethyl,Take with food. Food increases the bioavailability of telotristat ethyl.
Ticagrelor,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of ticagrelor, which may increase its serum concentration.
Avoid herbs and supplements with anticoagulant/antiplatelet activity. Herbs with antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.
Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of ticagrelor and may reduce its serum concentration.
Take with or without food."
Tolbutamide,"Avoid alcohol. Ingesting alcohol may precipitate a disulfiram-like reaction (flushing, nausea), or hypoglycemia.
Take with or without food."
Triamcinolone,No interactions found.
Tucatinib,Take with or without food. There is no meaningful clinical effect of food on this drug.
Valproic acid,"Avoid alcohol.
Avoid milk and dairy products.
Take with food."
Verapamil,"Avoid alcohol. Verapamil significantly inhibits the elimination of alcohol, leading to elevated blood alcohol levels.
Avoid grapefruit products. Co-administration with grapefruit may significantly increase serum concentrations.
Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information."
Warfarin,"Avoid drastic dietary changes.
Avoid foods rich in vitamin K. Vitamin K in foods such as leafy vegetables can reduce warfarin efficacy.
Avoid grapefruit products. They may interfere with warfarin metabolism and increase INR, increasing the risk of bleeding.
Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.
Avoid St. John's Wort. This drug may reduce warfarin efficacy."
Buprenorphine,"Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of buprenorphine.
Avoid grapefruit products. Grapefruit inhibits the metabolism of buprenorphine through CYP3A4, which increases the serum levels buprenorphine.
Take separate from meals. When buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved."
Lemborexant,Take on an empty stomach. Co-administration with food delays absorption and sleep onset.
Naloxone,"Take separate from meals. When formulated as a buccal film or sublingual form, avoid eating or drinking until the film has completely dissolved."
Albuvirtide,Not Available
Artemether,"Avoid grapefruit products.
Take with food. Food increases absorption."
Artenimol,Not Available
Atazanavir,Take with food. Food increases product absorption and reduces pharmacokinetic variability.
Cannabidiol,"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of sedation.
Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of cannabidiol, which may increase its serum concentration. Cannabidiol dose reduction may be necessary if used together.
Avoid St. John's Wort. This herb induces the CYP3A metabolism of cannabidiol and may reduce its serum concentration. The dose of cannabidiol may need to be increased if used together.
Take with food. Taking cannabidiol with food (particularly high-fat food) increases its bioavailability. The absorption of cannabidiol is more consistent when meal macronutrients remain the same."
Carbamazepine,"Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.
Avoid grapefruit products.
Exercise caution with St. John's Wort. This herb induces the CYP3A metabolism of carbamazepine and may reduce its serum concentration.
Take with or without food."
Efavirenz,"Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.
Take on an empty stomach. Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions. In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration."
Elexacaftor,"Avoid grapefruit products. Co-administration of grapefruit can inhibit elexacaftor metabolism and increase serum concentrations.
Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of elexacaftor.
Take with a high fat meal. Examples include food prepared with eggs, cheeses, nuts, oils, and butter."
Fluvastatin,Take with or without food. Should be taken consistently in regards to meals.
Green tea leaf,Not Available
Ivacaftor,Take with a high fat meal. Co-administration with a high fat meal increases exposure to ivacaftor.
Lumefantrine,"Avoid grapefruit products.
Take with food. Food increases absorption."
Lumefantrine co-artemether,Not Available
Methylphenidate,"Avoid alcohol. Co-administration with alcohol may cause a ""dose-dumping"" effect with some extended-release formulations of methylphenidate. It may also potentiate the CNS effects of methylphenidate.
Take with or without food. Patients may take methylphenidate with food to alleviate GI upset."
Mycophenolate mofetil,"Avoid multivalent ions. Take multivalent ions such as calcium, iron, or magnesium at least 2 hours after taking this medication.
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals."
Mycophenolic acid,Take on an empty stomach. Take mycophenolic acid at least 1 hour before or 2 hours after eating.
Pantoprazole,Take with or without food. The absorption is unaffected by food.
Piperaquine,Not Available
Propofol,No interactions found.
Remifentanil,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of remifentanil.
Rifabutin,"Take with or without food. For those patients with propensity to nausea, vomiting, or other gastrointestinal upset, taking with food may be useful."
Rifampicin,"Avoid alcohol.
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
Take with a full glass of water."
Ritonavir,Avoid St. John's Wort. Co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy.
Rosuvastatin,Take with or without food. Co-administration with food does not affect absorption.
Sevoflurane,No interactions found.
Simvastatin,Avoid grapefruit products. Co-administration with grapefruit products may increase the risk for adverse effects such as myalgia.
Soy isoflavones,Not Available
Tezacaftor,"Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of tezacaftor.
Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of tezacaftor.
Take with food. Tezacaftor should be taken with fat-containing food to increase exposure."
Topiramate,"Avoid a ketogenic diet. This type of diet increases the risk of kidney stones.
Take with or without food. Food slightly alters absorption but not to any clinically significant extent."
Voriconazole,Take separate from meals. Take voriconazole at least one hour before or after eating for optimal absorption.
Acetaminophen,"Avoid alcohol. Alcohol may increase the risk of hepatotoxicity.
Take with or without food. The absorption is unaffected by food."
Alfentanil,No interactions found.
Bosentan,Take with or without food. The absorption is unaffected by food.
Cabotegravir,"Take at the same time every day. Take the oral tablets at the same time every day.
Take with food. Take the oral tablets with a meal."
Caffeine,No interactions found.
Cyproterone acetate,"Avoid alcohol.
Take after a meal."
Darunavir,Take with food. Food increases absorption.
Dextromethorphan,Take with or without food. The absorption is unaffected by food.
Dolutegravir,"Avoid multivalent ions. Cations should be separated from dolutegravir administration by 2 hours before and 6 hours after cation administration. Cations can be administered with dolutegravir if given with food.
Avoid St. John's Wort.
Take with or without food. Food, particularly high-fat meals, may increase the AUC, Cmax, and Tmax of dolutegravir."
Efavirenz,"Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.
Take on an empty stomach. Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions. In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration."
Emtricitabine,Take with or without food. The absorption is unaffected by food.
Estradiol valerate,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of estradiol valerate.
Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of estradiol valerate. Therefore it may reduce the serum concentration and effectiveness of estradiol valerate."
Etonogestrel,"Administer vitamin supplements.
Avoid alcohol.
Limit caffeine intake.
Take at the same time every day.
Take with food."
Fentanyl,Avoid alcohol.
Fluoxetine,"Avoid alcohol.
Take with or without food."
Fluvastatin,Take with or without food. Should be taken consistently in regards to meals.
Hydrocodone,"Avoid alcohol. Profound CNS depression, including sedation, respiratory depression, coma, and death may occur.
Take with or without food. Cmax and AUC are not altered by food in a clinically significant way."
Levonorgestrel,"Take at the same time every day.
Take with or without food. The effect of food on absorption has not been evaluated."
Lovastatin,"Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.
Take with food. Food increases bioavailability."
Medroxyprogesterone acetate,"Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of medroxyprogesterone acetate.
Take with food. Food increases the bioavailability of medroxyprogesterone acetate."
Midazolam,Avoid grapefruit products.
Midazolam,Avoid grapefruit products.
Omeprazole,Take before a meal. Allow 30-60 minutes before a meal.
Ondansetron,Take with or without food. The absorption is unaffected by food.
Oxycodone,"Avoid alcohol.
Take with or without food. Food does not significantly affect absorption."
Propofol,No interactions found.
Rilpivirine,"Avoid St. John's Wort. St.John's Wort will decrease levels of this medication.
Take with food. Absorption is increased by 40% if taken with food."
Saxagliptin,Take with food. Food increases total drug exposure.
Sevoflurane,No interactions found.
Sildenafil,Take with or without food. If taken with a high-fat meal the medicine may take a little longer to start working.
St. John's Wort,No interactions found.
Tenofovir alafenamide,"Take at the same time every day.
Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information."
Tenofovir disoproxil,Take with or without food.
